EP01: IN
EP01: はあ？ | 啊？
EP01: だから　カネ貸してくれねえなら　今日のデートはなし | 所以说借我点钱 否则今天的约会就别想了
EP01: でもいいかげんヤラしてくれるならいいぜ | 或者让我爽爽也行
EP01: ラブホ代はそっち持ちで | 开房的钱你出
EP01: 殴られろ | 欠揍
EP01: ちょっ　てめっ | 你这家伙
EP01: 調子に乗んな　こら | 还蹬鼻子上脸了
EP01: もういいわ　おめえなんかよ | 你这种女人 差不多得了
EP01: カネもねえし　ヤれもしねえ女　興味ねえわ | 没钱又不给上 我对你没兴趣了
EP01: ざけんな | 开什么玩笑
EP01: バカ　タコ | 笨蛋 章鱼
EP01: イカ　マグロ | 乌贼 金枪鱼
EP01: 超ウケる | 真逗
EP01: 魚介類は悪口じゃねえから | 海鲜可不是骂人用的
EP01: なぐさめろよ　初めての彼氏だったんだぞ | 安慰我一下嘛 这可是我的初恋
EP01: だからやめとけって言ったじゃん | 早就让你分手了
EP01: あれのどこがよかったわけ | 那家伙哪里好了
EP01: 顔が高倉健に似てた | 他长得像高仓健
EP01: うわ　出た | 又来了
EP01: めんどくせえ | 麻烦死了
EP01: いいだろうがい　高倉健みたいな硬派な男が好きなんだよ | 不行吗 我就喜欢高仓健那样硬派的男人
EP01: 「ジブン　不器用なんで」 | 「我这个人比较笨拙」
EP01: 絶滅したわ　そんな男 | 那种男人早就灭绝了
EP01: なんてこったい | 为什么会这样
EP01: ウチの人生では健さんにはもう出会えないのか | 我这辈子还能遇到健先生吗
EP01: ていうか　なぐさめろよ　誰かよ | 话说 谁来安慰我一下
EP01: せちがらい世の中だ | 世道真艰难
EP01: クソが | 该死
EP01: 外した？ | 没砸中？
EP01: 外してんじゃん | 是没砸中
EP01: こっち見んな　気持ちわりい | 看什么看 恶心
EP01: これもあるよ | 试试这个
EP01: いいねえ | 不错
EP01: 中に磁石入れてみ | 放个吸铁石进去怎么样
EP01: 痛いっしょ　これ | 砸人很痛吧 这个
EP01: 何読んでんの　それ | 在看什么呢
EP01: あの… | 那个…
EP01: ダッセえな | 真差劲
EP01: クズしかいねえのか　この世は | 这世上就只有人渣了吗
EP01: ヤダヤダ | 受不了
EP01: このストレスをどこにぶちまけりゃいいんだよ | 我上哪去宣泄压力啊
EP01: 綾瀬桃さん | 绫濑桃同学
