EP01: IN
EP01: はあ？ | 啊？
EP01: だから　カネ貸してくれねえなら　今日のデートはなし | 快借我点钱 否则今天的约会就别想了
EP01: でもいいかげんヤラしてくれるならいいぜ | 或者让我爽爽也行
EP01: ラブホ代はそっち持ちで | 开房的钱你出
EP01: 殴られろ | 欠揍
EP01: ちょっ　てめっ | 你这家伙
EP01: 調子に乗んな　こら | 还蹬鼻子上脸了
EP01: もういいわ　おめえなんかよ | 你这种女人 差不多得了
EP01: カネもねえし　ヤれもしねえ女　興味ねえわ | 没钱又不给上 我对你没兴趣了
EP01: ざけんな | 开什么玩笑
EP01: バカ　タコ | 笨蛋 章鱼
EP01: イカ　マグロ | 乌贼 金枪鱼
EP01: 超ウケる | 真逗
EP01: 魚介類は悪口じゃねえから | 海鲜可不是骂人用的
EP01: なぐさめろよ　初めての彼氏だったんだぞ | 安慰我一下嘛 这可是我的初恋
EP01: だからやめとけって言ったじゃん | 早就让你分手了
EP01: あれのどこがよかったわけ | 那家伙哪里好了
EP01: 顔が高倉健に似てた | 他长得像高仓健
EP01: うわ　出た | 又来了
EP01: めんどくせえ | 麻烦死了
EP01: いいだろうがい　高倉健みたいな硬派な男が好きなんだよ | 不行吗 我就喜欢高仓健那样硬派的男人
EP01: 「ジブン　不器用なんで」 | 「我这个人比较笨拙」
EP01: 絶滅したわ　そんな男 | 那种男人早就灭绝了
EP01: なんてこったい | 为什么会这样
EP01: ウチの人生では健さんにはもう出会えないのか | 我这辈子还能遇到健先生吗
EP01: ていうか　なぐさめろよ　誰かよ | 话说 谁来安慰我一下
EP01: せちがらい世の中だ | 世道真艰难
EP01: クソが | 该死
EP01: 外した？ | 没砸中？
EP01: 外してんじゃん | 是没砸中
EP01: こっち見んな　気持ちわりい | 看什么看 恶心
EP01: これもあるよ | 试试这个
EP01: いいねえ | 不错
EP01: 中に磁石入れてみ | 放个吸铁石进去怎么样
EP01: 痛いっしょ　これ | 砸人很痛吧 这个
EP01: 何読んでんの　それ | 在看什么呢
EP01: あの… | 那个…
EP01: ダッセえな | 真差劲
EP01: クズしかいねえのか　この世は | 这世上就只有人渣了吗
EP01: ヤダヤダ | 受不了
EP01: このストレスをどこにぶちまけりゃいいんだよ | 我上哪去宣泄压力啊
EP01: 綾瀬桃さん | 绫濑桃同学
EP01: 好きなのはわかってるんですよっ | 我知道你喜欢
EP01: は？ | 啊？
EP01: 好きなのはわかってるんですよっ | 我知道你喜欢
EP01: 何回言うんだ　てめえ | 你小子要说几遍
EP01: 綾瀬さんみたいな人がジブンに話しかけてくるなんて　もうそれしかありませんっ | 绫濑同学这样的人会向我搭话 只能是这个原因了
EP01: なんか　勘違いしてねえか | 你是不是误会了什么
EP01: 別にあんたと仲よくしたいとかないから | 我也没有想跟你处好关系
EP01: さっきのは忘れて | 忘掉刚才的事
EP01: ジブンが言ってるのはこれです | 我说的是这个
EP01: 「大統領はすでに火星に行っていた」 | 「大总统已经去火星了」
EP01: 「『ペガサス計画』の全容とは」 | 「『飞马计划』的真相」
EP01: え　なんて | 什么
EP01: オカルト好きなんですねっ | 你喜欢超自然事件吧
EP01: ウチUFOとか宇宙人とか信じてないから | 我不相信什么UFO外星人
EP01: ユーフォーじゃなくてUAP | 不是UFO 是UAP
EP01: 「未確認航空現象」ですよ | 「不明空中现象」
EP01: ねえ　ウザいんだけど | 我说 你好啰嗦
EP01: アメリカ軍はUAPの存在を正式に認め | 美军正式承认UAP的存在
EP01: 「宇宙軍」を再編成しました | 并改组了「太空军」
EP01: 日本も「航空宇宙自衛隊」を新設 | 日本也新设立了「航空宇宙自卫队」
EP01: どう考えても「宇宙戦争」に備えてますよ | 怎么看都是在为「宇宙战争」做准备吧
EP01: もう行っていい | 我可以走了吗
EP01: いや　ちょっ | 不 等等
EP01: ネッシーの最新画像が載ってるんです | 还刊登了尼斯湖水怪的最新照片
EP01: これ | 看这里
EP01: 他にもジム・チャノン中佐とか | 还有吉姆加农中佐
EP01: スキンウォーカー牧場とか | 以及剥皮行者牧场
EP01: うるせえな | 烦死人了
EP01: こっちは今失恋して　そんな気分じゃねえんだよ | 我可是刚刚失恋 哪有那种心情
EP01: そのオタク特有の押しつけてくる感じマジウザいから | 你那强行安利的阿宅行为真是烦死人了
EP01: だから友達いねえんだよ | 所以你才没朋友啊
EP01: 気安く話しかけんな | 别随便找我搭话
EP01: ごめん　言い過ぎた | 抱歉 我说太过了
EP01: はい | 接着
EP01: 宇宙人は信じてないけど | 虽然不相信外星人
EP01: 幽霊は信じてる派だから | 但我相信幽灵存在
EP01: いや　幽霊なんているわけないでしょ | 不是 幽灵怎么可能存在
EP01: はあ | 什么
EP01: こっちが話合わせてやったら　それは全否定すんのかよ | 我主动找话题你就这么唱反调是吧
EP01: オカルトナメないでください | 别小看超自然事件
EP01: 言っとくけど　ウチのばあちゃん　霊媒師 | 就告诉你吧 我奶奶是灵媒师
EP01: 何っ | 什么
EP01: あんた　除霊って見たことある | 你见过除灵吗
EP01: 超ヤバいから | 那可不得了
EP01: 取り憑かれた人がけいれん起こすんだよ | 被附身的人身体抽搐不止
EP01: けいれんは病気でも起きますから | 生病也会导致身体抽搐
EP01: 幽霊がいる証明にはなりませんよね | 这可没法证明幽灵存在
EP01: だったら　宇宙人にユーフォー乗せてもらったことあんのかよ | 那外星人有请你坐过UFO吗
EP01: 議論が飛躍しすぎですよ　バカなんですか | 你的逻辑太跳脱了 脑子坏了吗
EP01: あれ | 咦
EP01: 高倉健は諦めてオタク系にしたんだ | 这是要放弃高仓健 转投宅系男友呢
EP01: 見て | 你看
EP01: あのなりふりかまわない感じ | 他俩那不顾周遭的模样
EP01: 嫌いじゃないわあ | 我倒不讨厌
EP01: だったら勝負しようぜ　こら | 那就来试一试吧
EP01: もし幽霊がいるってなったら　あんたはウチのパシリにするからね | 要是真有幽灵 你就给我当跑腿的
EP01: 見せてやりましょう　ユーフォー | 就让你见识一下UFO吧
EP01: いや　UAP | 不 是UAP
EP01: もし見ることができたら　綾瀬さんだってパシリになってもらいますからね | 如果看到了UAP 就请绫濑同学给我跑腿
EP01: 何ここ　怖すぎなんだけど | 这什么地方 太恐怖了吧
EP01: どこがユーフォースポットなのよ | 哪里像是UFO的出没地点
EP01: そこの「奈木病院」はユーフォーの聖地と呼ばれる場所です | 那座「奈木医院」被称作UFO圣地
EP01: 屋上でユーフォーを呼ぶと　アブダクションされます | 在楼顶呼唤UFO的话 就会被绑架
EP01: アブダクションって何 | 什么叫绑架
EP01: 宇宙人に誘拐されて人体実験されることをいいます | 就是被外星人拐走做人体实验
EP01: ヤダちょっと | 什么 等等
EP01: あんた　人体実験受けたことあんの | 你被抓去做过人体实验吗
EP01: 受けた可能性はあります | 有这种可能性
EP01: は？ | 啊？
EP01: アブダクションを受けた人の多くは記憶を消されてますから | 毕竟大多数被绑架的人都会被抹除记忆
EP01: おい　お前　ユーフォー見たことねえだろ | 喂 你没见过UFO吧
EP01: 退行催眠って知ってます | 你知道退行催眠吗
EP01: はぐらかしてんじゃねえぞ | 别扯开话题
EP01: 見たかどうかは問題じゃないんですよ | 重点不是有没有见过
EP01: 要はちゃんとした論拠があるかどうかです | 而是有没有确凿的证据
EP01: うるせえ | 闭嘴
EP01: そんなことよりそっちはどうなのさ | 话说回来 你那边如何
EP01: 着きました | 我到了
EP01: 心霊スポット | 灵异地点
EP01: さて　証明してやりましょうか | 好了 证明给你看吧
EP01: 幽霊なんかいないってことを | 幽灵什么的并不存在
EP01: おい　まさかビビってんじゃねえだろうな | 喂 你该不会害怕了吧
EP01: ちなみに　そこ絶対出るってネットで有名なとこだから | 顺带一提 那地方因为闹鬼在网上可出名了
EP01: トゥシャイシャイボーイ　この瞬間に | 害羞的男孩 就在这一刻
EP01: 大声出すのがいちばん危ないって書いてあるぞ | 大声喊叫是最危险的哦
EP01: トゥシャッシャイボーイ… | 害羞的男孩…
EP01: ネットに | 网上说的
EP01: さっきからネットって | 老是网上说的
EP01: 綾瀬さんこそ幽霊見たことあるんですか | 你该不会没见过幽灵吧
EP01: ないよ | 没有
EP01: えええー | 什么
EP01: よくもさっき偉そうに言えましたね | 那你刚才还好意思说我
EP01: 恐縮っす | 对不住啦
EP01: さっきまでの態度を返せ | 那你还振振有词
EP01: 幽霊見たことないのに信じてるっておかしいでしょ | 没见过幽灵你凭什么相信幽灵存在
EP01: おかしくねえわ | 不冲突吧
EP01: ウチのばあちゃん　霊媒師だって言ったじゃん | 不是说过我奶奶是灵媒师吗
EP01: おばあちゃん子だったし　両親いないからさ | 我没有双亲 所以很粘我奶奶
EP01: そうだったんですか | 这样啊
EP01: 何神妙になってんだよ | 怎么突然安分了
EP01: ちょっと聞いてよ　ウチの家マジ変でさあ | 我跟你说 我家可怪了
EP01: 外に出る時　絶対「おまじない」しなきゃいけなかったの | 出门时 必须得做「法事」
EP01: それ登校中ずっとやらされるわけ | 上学路上还得一直做
EP01: 案の定　男子に笑いものにされてさ | 不出意外 我被男生们嘲笑了
EP01: やらないとばあちゃん怒るし　もう最低って感じ | 不做奶奶还会生气 简直糟透了
EP01: でもいちばんキツかったのは… | 可最让我难过的是…
EP01: 好きな男子にバカにされた時 | 我被喜欢的男生嘲笑了
EP01: ばあちゃんのことすごい憎んだ | 我当时可讨厌奶奶了
EP01: 「変なおまじないのせいで好きな子に嫌われた」って | 「都怪这奇怪的法事 害得我被喜欢的男生讨厌了」
EP01: ひどいこと言った気がする　おばあちゃんに | 记得当时我对奶奶说了很过分的话
EP01: そっから最近まで口利かなかったし | 直到现在我都没怎么和奶奶说过话
EP01: おまじないもやめた | 也不再做法事了
EP01: でもね | 可是啊
EP01: 他人にウチの家のことバカにされるとムカつくの | 别人嘲笑我家人时 我会很生气
EP01: それで気付いた | 于是我才意识到
EP01: 好きな子に嫌われたのが`イヤだったんじゃなくて | 我并非因为被喜欢的人讨厌而感到难受
EP01: 好きな子にばあちゃんをバカにされたことがイヤだったんだなあって | 而是因为他嘲笑了我的奶奶
EP01: 本当はおばあちゃんのことも　霊媒師って仕事も　特別感あって好きだった | 我其实很喜欢奶奶和她那份特别的灵媒师工作
EP01: でも　ウチなんかを引き取ってくれてさ | 她接纳了这样的我
EP01: 女手ひとつで大事に育ててくれて | 还一个人将我拉扯大
EP01: そんなばあちゃんを　ウチは信じてる | 所以我相信奶奶
EP01: だからウチは幽霊を信じてる | 所以我相信幽灵存在
